Sapling.ID,Stem.Wood.Density,Modulus.Of.Elasticity,Branching.Distance,Branch.Diameter,Branch.Wood.Density,Vessel.Diameter,Lumen.Fraction,Ks,Kbranch,t.b2,Leaf.Area,Leaf.Mass.per.Area,Leaf.Thickness,Leaf.Carbon.Concentration,Leaf.Nitrogen.Concentration,Leaf.Phosphorus.Concentration,Carbon.13.isotope.ratio,Elevation,Total.Transmitted.Light ,Percent.Canopy.Opening,Summer.Max.Temp,Fall.Min.Temp,Mean.Summer.and.Fall.Temp,Slope,North.Aspect,East.Aspect,Soil.Humidity,Soil.pH,Soil.Total.Organic.Carbon,Soil.Total.Nitrogen,Soil.Phosphorus,Soil.Potassium,Soil.Calcium,Soil.Magnesium,Soil.Depth,Symmetric.Competition,Asymmetric.Competition,Species,Site.Name,Tree.Age,Tree.Height,julian.date.2011,Branch.Height
J16TIA-a,0.370915556,2502.329523,9.9,5.785,0.327620821,7730.11568,0.221526764,128.6809428,2171.443795,0.022426289,38.26827586,21.75205897,0.102,46.8366,3.4312,21.3670743,-32.68570602,40,3.07,4.32,27.75,-9.75,14.56,0,0,0,0.060666667,4.89,3.303374539,0.126254826,8.376711697,45.17073811,396.7259265,45.42584166,55,1.308,16.545,TIA,Mr. Robert Feuillus,23,617,178,4.6
J16TIA-b,0.393837571,1187.792904,32,6.475,0.28812148,3625.157632,0.168387427,51.92301512,836.5645408,0.026670111,114.1727273,29.66796719,0.1606,44.8839,3.5655,25.80580129,-31.19426765,40,2.66,3.68,27.75,-9.75,14.56,0,0,0,0.078333333,4.36,2.710985847,0.125435647,11.92994516,45.06210817,316.5936023,41.94254543,55,3.422,24.360,TIA,Mr. Robert Feuillus,8,303,178,1.9
J16ULA-c,0.745955595,558.1423158,8.833333333,3.6,0.526525203,20281.47928,0.249720989,340.9208693,302.2447202,0.043939801,20.73692308,30.88137102,0.1104,41.7865,3.3851,16.91193401,-31.60210312,40,4.78,7.08,27.75,-9.75,14.56,0,0,0,0.095333333,4.3,5.71654243,0.210780347,17.86434236,88.88313393,772.0167371,76.77485888,55,0.243,93.330,ULA,Mr. Robert Feuillus,13,194,178,1.6
J17ACR10,0.659186992,9100.00799,21.33333333,5.16,0.518803689,6967.912358,0.067728055,25.8756593,377.7666706,0.033525941,35.89695652,54.44327362,0.1406,51.7684,2.9123,13.21106008,-30.53933449,70,5.11,6.82,26.83,-10.83,13.81,0,0,0,1,5.61,3.849928926,0.078913845,29.54432303,29.6444933,1704.749746,92.0425635,27,0.874,8.289,ACR,Mme Boucher,39,680,214,4.8
J17ACR11,0.556802444,2276.433367,7.727272727,5.545,0.527227954,8494.084443,0.100645453,49.68368204,862.9270524,0.016888002,29.78483871,28.3755537,0.104,49.2788,2.2059,15.14435088,-29.62441109,70,2.59,4.59,26.83,-10.83,13.81,0,0,0,0.298666667,5.52,5.875271021,0.198110831,13.36371412,88.2849091,2467.418873,144.3469068,32,0.335,2.208,ACR,Mme Boucher,25,517,194,3.7
J17ACSA30,0.803303887,19897.44813,9.375,4.95,0.540153289,5615.495093,0.065678966,27.8415949,500.6034726,0.030041004,36.60323529,32.32597569,0.1058,48.0312,1.9905,16.23715279,-31.49688957,70,3.24,5.62,26.83,-10.83,13.81,0,0,0,0.183,4.97,8.067746397,0.324016421,15.51125605,162.3221898,2316.794407,157.2632787,46,9.241,25.668,ACSA,Mme Boucher,38,895,194,5.2
J17AMSP17,0.847377797,9970.596715,26.33333333,3.025,0.619667388,3317.463875,0.125821213,22.70840614,426.2219124,0.016973876,19.59928571,41.32803674,0.1254,48.6842,2.1501,11.6979458,-30.59014977,70,3.19,5.32,26.83,-10.83,13.81,14.3,-0.529919264,-0.848048096,0.243333333,NA,NA,NA,NA,NA,NA,NA,NA,0.222,26.510,AMSP,Mme Boucher,35,564,214,4.2
J17BEA14,0.667737478,2968.724349,31,3.48,0.540579703,2149.928851,0.156305186,89.72960457,1745.054558,0.021073553,23.50708333,38.02045483,0.1268,48.2354,2.6523,12.18918557,-31.67893333,70,4.24,7.99,26.83,-10.83,13.81,0,0,0,0.474666667,5.5,35.40111712,1.753125,120.2126806,349.1426782,13011.98648,615.6952603,55,0.772,24.750,BEA,Mme Boucher,28,449,194,3.1
J17BEPO13,0.443027414,3162.487714,17,4.235,0.456725987,6277.444354,0.140112525,75.56442409,1454.519366,0.014198678,17.5153125,63.99757355,0.142,51.2523,3.1171,18.05083285,-28.83520973,70,9.43,16.56,26.83,-10.83,13.81,18,-0.034899497,0.999390827,0.018333333,5.49,2.556346528,0.090778947,17.43647244,53.33252952,1097.111554,52.90089641,55,1.183,6.078,BEPO,Mme Boucher,8,314,214,2.3
J17BEPO14,0.59913615,452.2550522,18.91666667,4.575,0.550500374,5575.772459,0.057890232,19.87424561,344.3943658,0.016640429,9.668888889,52.1719145,0.1324,51.6132,3.283,18.44948487,-31.71050949,70,3.52,11.19,26.83,-10.83,13.81,0,0,0,0.041,5.09,6.436399056,0.24952293,24.63982891,143.747079,1595.755566,110.1270874,38,0.677,3.873,BEPO,Mme Boucher,31,323,194,2
